OXIDANTES,,,,
O-3,Sulfato de Sodio decahidratado,2,4,10
N-3,Sulfato de Zinc heptahidratado,2,2,0
P-3,Sulfito acido de sodio,2,1,1
O-3,Sulfito de sodio,2,2,2
N-1,Sulfuro de Hierro (II),2,4,750
P-1,Sulfuro de Sodio x hidratado,2,2,750
BODEGA LAB,SACAROSA NO REACTIVO ( AZUCAR COMUN),2,1,4
BODEG LABO,INDIGO CARMIN,2,4,25
Q-4,Talco,2,2,3
L-3,Tartrato de Antimonio y Potasio,2,4,500
L-3,Tartrato de Potasio hemihidratado,2,2,1
O-3,Tartrato de Sodio dihidratado,2,2,1
O-3,Tartrato de Sodio y Potasio,2,4,5
P-2,Tetraborato de Sodio 10 H2O,2,4,0.2
lab. Organica,Tetracloruro de carbono,2,1,3
I-3,Tierra Silicia,2,4,600
B-1,Timol cristal,2,4,400
J-1,Tiocianato de Amonio,2,2,4
L-3,Tiocianato de Potasio,2,2,1
O-3,Tiocianato de Sodio,2,2,0.5
O-2,Tiosulfato de Sodio 5 H2O,2,3.75
M-1,Tricloroetileno,2,1,1
M-1,Trietanolamina,2,1,3
bodega lab,timolftaleina,2,2,0.15
D-1,Urea,2,2,0
J-1,Vanadato de Amonio,2,4,25
Q-4,Vaselina líquida,2,1,0
B-2,Verde de Bromocresol,2,4,25
B-2,Verde de Malaquita,2,4,400
Ubicación General,Violeta Cristal,2,4,175
D-2,VERDE METILO,2,4,25
P-3,Wolfranato de Sodio dihidratado,2,4,250
F-1,XILOSA,2,4,10
bodega labor.,Zinc granular,2,2,2735

INFLAMABLES,,,,
G-2,ACETALDEHIDO,3,1,1.5
ESTA MET,ACETATO DE ETILO,3,1,8
I-4,ACETONA,3,2,32
B-3,ALCOHOL BENCILICO,3,1,1.6
A-1,ACIDO FORMICO,3,1,2
B-2,ALCOHOL ISOPROPILICO,3,1,0
B-1,ALCOHOL Amilico,3,1,11
H-4,ALUMINIO EN ALAMBRE,3,4,0
H-4,Aluminio EN COLOCHOS,3,2,0
H-4,ALUMINIO EN LAMINA,3,2,1
H-4,ALUMINIO EN POLVO,3,2,0
F-1,ANIHIDRIDO ACETICO,3,1,3
G-1,ANILINA,3,1,22.5
D-1,AZUFRE,3,4,2500
D-1,AZUFRE EN POLVO,3,2,32
B-1,ALCOHOL ISOAMILICO,3,2,6
B-1,ALCOHOL N-PROPILICO,3,2,7
F-1,ALUMBRE DE POTASIO,3,2,1
C-2,1-BROMOBUTANO,3,1,1.5
C-1,1-BUTANOL,3,1,2
C-2,2- BUTANOL,3,1,3.5
I-1,BENCENO,3,1,0
G-2,BENZALDEHIDO,3,1,0.5
J-3,BROMO,3,3,0
F-3,BROMOBENCENO,3,1,2.5
F-3,MONO-BROMO-BENCENO,3,2,0.5
C-2,1-CLORO-2-METIL-2-PROPANOL,3,2,20
C-2,1-CLOROBUTANO,3,1,5
C-2,2-CLOROBUTANO,3,1,0.5
laboratorio,Canfin,3,1,6
H-3,CICLOHEXANO,3,1,6
C-1,CICLOHEXANOL,3,1,6
F-3,CLOROBENCENO,3,1,2
